,stockname,avg_profit,num_trades
0,JPASSOCIAT,4.597924886536214,333
1,GMRINFRA,1.2187293352707507,390
2,SUZLON,0.9610166955428313,300
3,IBREALEST,27.13836773522056,713
4,RELCAPITAL,66.40243508367466,602
5,DLF,13.781639953301667,521
6,IDFC,3.022569448025877,278
7,SOUTHBANK,1.8771684011614642,468
8,IDFCBANK,2.4480833099455164,192
9,BANKBARODA,9.144308989344228,249
10,MANAPPURAM,4.89644020284186,367
11,HINDALCO,10.199552005816683,594
12,TATASTEEL,36.021689195602704,589
13,JINDALSTEL,12.820371110310187,511
14,RCOM,1.7126183494705942,299
15,HDIL,8.526173166961406,373
16,L_TFH,12.178992280632627,685
17,NMDC,5.33606014846936,244
18,ADANIPOWER,2.277851564227676,313
19,HCC,1.948960951828263,228
20,ICICIBANK,13.732618662972676,370
21,SUNTV,77.70406745511427,356
22,RELINFRA,19.243545744686386,418
23,PNB,9.409938692119958,390
24,JSWSTEEL,11.312154393832971,546
25,APOLLOTYRE,17.404174379706827,592
26,MOTHERSUMI,28.719706336091093,507
27,RECLTD,22.645833274826213,358
28,ONGC,1.8550469847057833,32
29,RPOWER,1.3759889715786768,329
30,IDEA,6.274695339017881,292
31,JSWENERGY,2.35360302665514,324
32,IFCI,1.076651113978309,197
33,DHFL,32.38620766509125,660
34,TV18BRDCST,1.9786560539927656,297
35,CANBK,21.59878656540351,430
36,BANKINDIA,15.526940102135972,432
37,ORIENTBANK,14.813713698523806,349
38,PFC,10.340153220192741,316
39,EXIDEIND,10.994811788006396,337
40,NCC,6.558359644938228,265
41,KTKBANK,13.220692352993886,474
42,BHARATFIN,56.03654326636265,346
43,M_MFIN,25.19772105726958,629
44,GRASIM,63.73212898730238,472
45,NATIONALUM,2.515426949036001,376
46,AXISBANK,10.615191693546553,421
47,UNIONBANK,8.423860219622778,351
48,AUROPHARMA,50.44727722204978,356
49,INFIBEAM,143.9702379805414,374
50,BEL,9.197003363342194,267
51,FORTIS,15.1179425229471,182
52,ALBK,4.316085054437307,337
53,HINDPETRO,16.819895545843107,276
54,MRPL,9.681918409479206,396
55,TATAPOWER,2.1263448990230778,302
56,PTC,7.127186223060066,542
57,NHPC,0.7635337617868145,287
58,NTPC,4.368363975933589,312
59,IOC,27.401499904606737,396
60,BPCL,38.44572111072336,252
61,INFY,27.040426444850404,377
62,RELIANCE,111.54837006981718,597
63,DISHTV,7.5801170167745004,235
64,JUSTDIAL,90.81552652002765,167
65,ITC,13.017523645604522,490
66,SYNDIBANK,6.24454745379523,274
67,TATAMTRDVR,7.807033058731757,149
68,CESC,48.15488105603305,520
69,GAIL,12.78077016861171,245
70,JISLJALEQS,5.099636263747559,398
71,COALINDIA,3.8292961031949444,62
72,PCJEWELLER,30.72716972894165,525
73,ANDHRABANK,4.179584792814779,340
74,CGPOWER,26.149266823558797,423
75,POWERGRID,6.344945421088643,475
76,GSFC,7.819900960457553,452
77,AMBUJACEM,12.023461854391202,518
78,ADANIPORTS,16.81944319046963,675
79,SREINFRA,8.045461971696124,553
80,EQUITAS,6.398971409768253,206
81,IRB,9.202984122713984,317
82,DCBBANK,16.040206678158317,512
83,YESBANK,109.02699682235635,522
84,TVSMOTOR,31.267366818454107,728
85,RDEL,2.2680229339509617,381
86,KOTAKBANK,40.793277874721554,659
87,SRTRANSFIN,53.2337438783381,312
88,UJJIVAN,22.887849122607523,248
89,PETRONET,15.651612016470844,426
90,BALRAMCHIN,7.332060087570264,453
91,BHARTIARTL,18.706147732296433,544
92,HDFCBANK,74.36265953825388,738
